map id,corner up leftx,corner up lefty,corner down rightx,corner down righty,always on
1,4960,5600,5600,4960,0
2,4800,5600,6079,4640,0
3,4960,5600,5920,4800,0
4,4960,5440,5280,4960,0
5,4960,5600,5440,4960,0
6,4960,5600,5440,4960,0
8,4960,5439,5599,4480,0
9,0,0,0,0,1
11,4640,5760,5760,4640,0
12,4640,5760,5760,4640,0
13,4640,5760,5760,4640,0
15,0,0,0,0,1
16,0,0,0,0,1
17,0,0,0,0,1
18,0,0,0,0,1
19,0,0,0,0,1
21,4960,5599,5599,4960,0
22,4960,5599,6079,4960,0
23,4960,5599,5599,4800,0
24,4972,5601,5750,4807,0
25,4960,5599,5759,4800,0
26,4960,5599,5759,4800,0
27,4970,5601,5919,4800,0
28,4960,5599,5919,4644,0
29,4960,5439,5919,4800,0
31,4960,5599,5599,4960,0
32,4960,5599,5599,4960,0
33,4960,5599,5755,4800,0
37,4960,5439,5439,4960,0
38,4960,5441,5279,5120,0
40,0,0,0,0,1
41,4960,5439,5280,5120,0
42,4960,5439,5759,4800,0
43,4960,5439,5599,4800,0
44,4960,5439,5598,4800,0
46,4960,5439,5599,4960,0
47,4960,5439,5597,4800,0
48,4960,5438,5599,4800,0
49,4960,5439,5597,4800,0
50,4960,5439,5597,4800,0
51,4960,5439,5759,4640,0
52,4960,5439,6239,4160,0
53,4960,5439,6559,4480,0
54,4960,5599,5919,4000,0
55,4960,5439,5919,4320,0
56,4962,5444,5758,4006,0
57,4962,5444,5919,4808,0
58,4960,5439,6239,4160,0
59,4965,5444,5595,4800,0
61,4962,5444,5919,4320,0
62,4958,5441,6719,4320,0
63,4960,5441,6239,4000,0
64,4960,5439,5759,4800,0
65,4960,5439,5759,4800,0
66,4960,5439,6239,3840,0
72,4960,5439,5279,5120,0
73,4800,5444,5439,4960,0
74,4800,5444,5439,4800,0
75,4960,5439,5599,4640,0
76,4960,5439,5599,4640,0
77,4800,5439,5599,4800,0
78,4960,5439,5759,4960,0
79,4960,5439,5759,4960,0
80,4960,5439,5279,5120,0
81,4800,5439,5599,4800,0
101,4960,5439,5279,4960,0
102,4960,5439,5279,4960,0
103,4960,5439,5279,4960,0
104,4960,5439,5279,4960,0
105,4960,5439,5279,4960,0
106,4960,5439,5279,4960,0
107,4960,5439,5279,4960,0
108,4960,5439,5279,4960,0
109,4960,5439,5279,4960,0
110,4960,5439,5279,4960,0
111,4960,5439,5279,4960,0
112,4960,5439,5279,4960,0
113,4960,5439,5279,4960,0
114,4960,5439,5279,4960,0
115,4960,5439,5279,4960,0
116,4960,5439,5279,4960,0
117,4960,5439,5279,4960,0
118,4960,5439,5279,4960,0
119,4960,5439,5279,4960,0
120,4960,5439,5279,4960,0
